Smiles,Corrected
CC[C@H](C)[C@H](NC(=O)C(=O)OC[C@H]1O[C@@H](Cn2cc(C)c(=O)[nH]c2=O)C[C@@H]1N=[N+]=[N-])C(=O)O,1738525.73
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](CC(C)C)C(=O)O)O2)c(=O)[nH]c1=O,2227171.492
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](Cc3ccccc3)C(=O)O)O2)c(=O)[nH]c1=O,2290426.019
CC[C@H](C)[C@H](NC(=O)C(=O)OC[C@H]1O[C@@H](Cn2cc(C)c(=O)[nH]c2=O)C[C@@H]1N=[N+]=[N-])C(=O)O,2517623.364
CC[C@H](C)[C@H](NC(=O)C(=O)OC[C@H]1O[C@@H](Cn2cc(C)c(=O)[nH]c2=O)C[C@@H]1N=[N+]=[N-])C(=O)O,265576.0344
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)c3ccncc3)O2)c(=O)[nH]c1=O,305129.2222
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](CC(C)C)C(=O)O)O2)c(=O)[nH]c1=O,407000.407
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O)O2)c(=O)[nH]c1=O,460383.9602
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O)O2)c(=O)[nH]c1=O,554569.6539
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,558440.8332
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)c3ccncc3)O2)c(=O)[nH]c1=O,584863.7268
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@H](C(=O)O)C(C)C)O2)c(=O)[nH]c1=O,651465.798
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O)O2)c(=O)[nH]c1=O,657981.3133
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N3CCC[C@H]3C(=O)O)O2)c(=O)[nH]c1=O,745212.0128
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@H](C(=O)O)C(C)C)O2)c(=O)[nH]c1=O,761846.7164
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,7722007.722
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O)O2)c(=O)[nH]c1=O,816726.5599
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](Cc3ccccc3)C(=O)O)O2)c(=O)[nH]c1=O,851498.6376
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,957029.3808
O=C(O)CCCCCOc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,320.51
O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,500
O=C(O)/C(O)=C/C(=O)c1cc(C2CCCCC2)ccc1C1CCCCC1,943.4
O=C(O)/C(O)=C/C(=O)c1cc(C2CCCCC2)ccc1C1CCCCC1,980.39
O=C(O)/C(O)=C/C(=O)c1cc(C2CCCCC2)ccc1C1CCCCC1,1052.63
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,10000
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.59
